@RELATION 8DTwoHypersphereSoftTestingSignal.txt

@ATTRIBUTE f1 numeric
@ATTRIBUTE f2 numeric
@ATTRIBUTE f3 numeric
@ATTRIBUTE f4 numeric
@ATTRIBUTE f5 numeric
@ATTRIBUTE f6 numeric
@ATTRIBUTE f7 numeric
@ATTRIBUTE f8 numeric
@ATTRIBUTE class {1, -1}

@DATA
2.15740802583,3.20651255409,3.18444220358,1.98691500221,1.86675536662,2.33021908409,1.32128470972,2.63151844597,1
2.17182780971,2.07902916377,2.25101946953,2.56203515327,1.4158109247,1.55041369538,2.63518123852,1.4385698123,1
2.54114791294,2.76206766076,2.41859722672,3.09695217556,2.0886169506,1.66801800141,0.889267517902,2.11879579032,1
2.0254294335,2.49561002359,1.82930283666,1.56581505916,2.22318178379,2.38841016036,2.64781167091,1.11637063492,1
2.88122727913,2.60608092563,1.89013105348,0.965593933547,2.12333497739,1.11606682284,1.90280347246,1.28273116347,1
1.37496538069,2.48635514739,0.756945316829,2.19164621664,1.77018916957,2.03945024039,1.23871377932,2.88524140493,1
2.22561275204,1.90492041999,2.58072791654,3.23499977166,3.02892324225,2.00454615944,1.7585124498,2.36545752401,1
2.50482244577,0.850744483529,1.61751532698,2.80753032289,1.66553084734,1.13065820537,2.32674344721,1.39994410757,1
2.86453023579,3.01925077996,2.28763489675,2.06895366629,1.44705894194,2.43151189703,1.84601934364,2.96506762082,1
2.5305183073,2.07378345111,0.648751869165,1.84993039627,1.87537625036,2.09918995099,1.01295566287,1.63723452242,1
2.31752562992,1.76641480828,2.03550650033,2.01999669525,2.81035418128,1.5995356228,1.68307072964,0.748185094797,1
2.76841438167,1.45412499871,2.44851813442,2.34755787033,1.32993791624,1.60228593384,0.811901678656,1.51295654463,1
1.18771186747,1.03275838809,2.7276602434,2.22151471208,1.46746266492,2.26171223893,1.91457413314,2.69064812362,1
0.977351402706,1.60797166121,2.99045762254,1.38000320694,2.34732857591,1.44423934259,2.23108335779,1.87875943973,1
2.56457808612,1.18704242503,0.718703435816,1.76516682121,2.1481480526,1.38988189097,1.85266811559,1.29851799123,1
2.98087350186,1.61700370172,2.25856773685,2.57888605195,0.748149151844,1.24502954422,1.81600649637,2.19742858825,1
1.85191013519,2.59414123237,1.39054204077,3.02119981452,1.77870647029,3.01736528712,2.16131911371,2.14482101702,1
1.63376068778,2.11611153564,2.2230950913,1.3491755071,0.684727942245,2.71439846944,2.47804844058,1.40292776896,1
1.74635618811,1.74038959169,2.57222659848,2.93236584172,2.05446640508,1.15914656821,2.21182160252,1.75226945336,1
