@RELATION linearsoftevens.txt

@ATTRIBUTE f1 numeric
@ATTRIBUTE f2 numeric
@ATTRIBUTE class {1, -1}

@DATA
4.309535585,9.77412922606,1
4.6794961284,8.02056794087,1
7.88825685733,5.38933805456,-1
4.71467373846,2.95511449104,-1
5.59996317881,9.41403050926,1
0.536029343279,2.79520240163,1
4.03588731635,0.99934178411,-1
5.09612102861,3.05819486198,-1
0.325182064993,1.85275314564,1
5.48551337636,6.71127442118,1
1.60809873031,0.0281354640765,-1
0.6484421582,5.0287037372,1
6.69977749322,2.57343949581,-1
3.12048559793,6.39047460505,1
6.29932347824,6.93816018207,-1
6.60492718323,4.97665741417,-1
6.26058574729,8.66409967046,1
1.78639493676,1.89995334708,1
8.75614446369,2.34469385091,-1
3.65866449038,3.86033087277,1
8.78736945297,8.47054379658,-1
8.72380024854,7.63232982464,-1
5.25195193732,2.27546537516,-1
3.66283849123,6.65920944867,1
6.69784330262,0.65568415108,-1
9.79327418411,1.44944372578,-1
0.841795242146,6.92340696172,1
2.20147011062,6.29032340441,1
7.55446893842,7.87271250201,1
3.47840012891,9.15628137181,1
1.00873246125,7.88202618698,1
0.842905591408,9.48310102311,1
8.63598675567,9.46297380801,1
3.7998481012,0.738658891479,-1
4.69382269513,1.82527860909,-1
1.96165432935,8.69532939934,1
8.21972173772,5.4816418779,-1
3.58896643207,0.270893412932,-1
2.72359944891,0.832898549847,-1
8.47576463016,2.57611193134,-1
8.40577874883,6.24149388101,-1
9.64753495733,5.04228447254,-1
0.0688145132783,0.51735174414,1
2.93190852543,6.46278805062,1
8.38483323933,8.37107939793,1
6.87930232135,5.60348821135,-1
3.60309628737,0.087422751894,-1
2.33449911907,8.20446661152,1
3.79307124235,1.03556842527,-1
1.03063734555,3.47006122142,1
6.2151062662,8.15430340959,1
7.70116393565,4.53719804543,-1
2.46115250511,0.535371969808,-1
4.30030507337,3.17624623877,-1
8.29567904968,6.80175886882,-1
6.10926689051,0.589326488937,-1
5.64786790901,4.42511068835,-1
8.23581761838,0.115350536854,-1
6.86208804052,6.48926352264,-1
4.34147255177,1.31069077802,-1
3.29384722924,3.78413050606,1
4.93835017541,6.65332209654,1
9.02906605041,2.10725215132,-1
6.59435395075,5.10049420137,-1
9.86991484523,8.39607083617,-1
0.672792612864,0.290047449799,-1
8.65941347606,1.50212210243,-1
7.72732717039,6.75194281743,-1
9.90335413504,9.12844137457,-1
4.48370568104,1.67404939526,-1
9.40024722458,0.534260258979,-1
9.721464075,2.38246389965,-1
3.67430252051,2.07076131371,-1
2.41790026211,4.49852621889,1
2.92452323331,6.02544401755,1
3.98231215361,6.52052124645,1
0.627433418878,6.30954444686,1
8.6935751923,7.97072450668,1
5.01359372724,6.72201606089,1
2.31913189222,9.22703796997,1
8.67850396372,2.34298834454,-1
6.16046670776,3.52092764753,-1
3.06770627303,6.46335444971,1
4.74862942495,1.58138615915,-1
9.32255750898,3.28866570143,-1
3.89001709944,5.36287075343,1
0.734673040594,4.00723185591,1
5.19228664366,7.62119520617,1
7.23954061598,3.06584887992,-1
3.08584570231,5.76565779829,1
6.74698609878,6.24840076765,-1
1.74772072222,5.93338925999,1
2.88954830914,9.70831999471,1
0.276094074519,7.81921901968,1
1.1539061526,8.84567918132,1
1.0771323909,3.91860214195,1
7.43036718199,9.03138658833,1
3.9258534149,6.09817406535,1
7.31916143022,9.20009346544,1
3.73719274814,9.24466747743,1
6.93157610873,5.64414084556,-1
7.62602004879,7.86974563344,1
2.03634337153,4.90761967222,1
0.803708164817,4.91481452024,1
9.36919642689,7.4068870639,-1
1.71789834122,8.36314410392,1
2.40427528291,7.19242525208,1
4.76012964934,1.68665167721,-1
8.3984903191,3.68445801341,-1
7.992761971,0.572017484533,-1
3.23222947681,8.03406386925,1
7.96118344467,5.73754395514,-1
9.96357119441,8.86920841058,-1
6.73824136964,6.07553055222,-1
5.99513504614,7.06345597213,1
8.67545471755,0.801792446182,-1
6.83891881259,5.51351030099,-1
7.10478599586,4.07980597243,-1
9.93224484567,2.7507628085,-1
2.14487172834,8.07365404298,1
2.52380020543,8.18214222745,1
6.87959481157,1.30805303985,-1
0.408609551253,9.76231752114,1
9.81575674201,8.158804412,-1
6.0593010683,7.64124684562,1
2.6590264763,3.16917720627,1
8.98450660384,5.06096703064,-1
3.83067027868,4.15641440259,1
4.04381567292,8.08458007743,1
1.61492336981,0.991048620314,-1
0.384628225789,3.43403041222,1
2.02147501726,6.45750689246,1
1.42008856034,7.97422175067,1
9.36743144517,8.86094695258,-1
8.66610785726,1.12109267515,-1
4.48681191315,9.14559421357,1
8.19329381553,4.54602762453,-1
4.09199624006,4.66809358832,1
7.72482451986,4.55651527146,-1
4.94106388941,3.96184710778,-1
5.44731655666,1.96511261546,-1
8.97750629405,9.48667579923,1
3.95268805465,3.33920466043,-1
2.05494423226,3.86421875547,1
3.24434825968,3.60716192529,1
0.799868010554,2.34178101099,1
3.40600807015,2.76145843064,-1
9.12321977512,4.61644595065,-1
7.41493822392,7.92662425857,1
7.64258291379,9.93516044979,1
0.334561294375,2.88021343777,1
5.01212488942,7.43326380292,1
8.59334935911,8.08569911321,-1
7.61920438827,4.89464390804,-1
5.70699059753,1.98292590274,-1
2.83378928252,4.74517828101,1
4.28497266013,1.72971969467,-1
5.42812513264,2.19540248132,-1
5.64245474231,2.53095276277,-1
0.0755501087955,2.81288625464,1
6.48502289539,4.74676914434,-1
4.78182282586,7.39553084542,1
4.42299091879,1.00824334698,-1
8.11537285586,7.78532641103,-1
7.34968717992,0.842290292074,-1
9.72620812705,0.391436754047,-1
7.97534635453,0.12821103693,-1
9.15284790621,8.26240450497,-1
1.25321557174,7.64288965095,1
3.33877417169,3.95522816664,1
6.03101281064,6.36588947819,1
3.46740610294,4.67719658202,1
2.96640007957,3.35891388613,1
4.7117477626,8.66304558068,1
3.93840508022,4.3114843851,1
0.507294340304,2.99767213637,1
3.05088819022,6.5972490627,1
1.88927049592,3.75524584263,1
5.14659276844,8.08312376056,1
0.532979421382,4.99853421428,1
6.60494281707,7.62578991337,1
7.11201919889,2.58661781052,-1
1.09982111514,3.55374574352,1
7.48051996096,8.02484578007,1
4.21005691815,1.13791152875,-1
6.14162762566,3.27776287817,-1
1.34765878903,0.742336070637,-1
7.53950910328,1.89406320441,-1
3.31112801654,4.08224184076,1
5.82432864623,7.97450940357,1
2.80159339767,6.01856860255,1
7.14632663685,7.93745317887,1
0.645067500543,9.12319443074,1
5.56224886551,2.80444282084,-1
7.7510198012,9.53979089189,1
6.1416314652,9.57289016366,1
9.97509447386,9.39236644849,-1
1.72496396916,5.84355677858,1
1.66739052195,6.36626833015,1
7.9362713557,3.57745173749,-1
1.83332122785,3.99209631592,1
3.971970795,7.89918996478,1
2.00885732195,1.28790839862,-1
8.0586339221,0.899933435144,-1
3.60949255595,0.304127891709,-1
3.57105926042,6.40171292477,1
7.56793349848,1.3311836797,-1
7.34690433104,3.31088880022,-1
3.31885853452,7.26473904207,1
9.38190650247,8.16344839747,-1
7.74644680084,2.99135529852,-1
7.47631956573,8.39182102227,1
0.296477726191,8.22799774335,1
4.73834264364,5.70084036798,-1
1.57140472168,7.92985150575,1
9.9184768049,8.28006322526,-1
7.50610846143,8.03630452186,1
0.436244610868,3.0716628376,1
9.86084321835,0.865313106572,-1
1.49131609898,9.35149111607,1
8.73709826671,7.91083726416,-1
2.01592401313,2.82804948462,1
0.717559920154,7.39476760956,1
3.37644934244,9.3239743267,1
1.38511136481,2.89224062661,1
8.25703993153,8.06690826332,-1
9.93670235838,3.87075958995,-1
3.34748414795,8.18331170496,1
1.67069381017,4.90951106626,1
5.10164132676,9.53444538599,1
7.35902316641,5.73293491981,-1
4.51129251462,0.791334246619,-1
5.18711029324,0.866258575326,-1
9.65690417414,4.39352703132,-1
1.60989135061,9.4691467541,1
1.56705083765,0.0243052992176,-1
4.50661117613,6.04357758203,1
3.91004099999,8.34275204285,1
2.09851131231,1.58063275554,-1
8.11238211215,2.70347336625,-1
9.94649779858,6.48485802353,-1
8.1582657417,4.61144386636,-1
3.79205656498,3.22658079898,-1
5.94811634223,4.47640316093,-1
7.69583744787,1.63015315534,-1
6.68338673021,1.41880869766,-1
9.49865671928,6.50121723591,-1
6.13670411251,2.125273372,-1
3.70036725513,2.93750013239,-1
1.64725645648,2.36266581618,1
9.05598961608,5.0573878803,-1
1.00773208415,8.62320185979,1
6.17538585962,3.31407907121,-1
5.67734592351,8.23387640673,1
3.48816812527,8.68947300897,1
5.91256152695,4.09729738708,-1
8.92704120504,1.81751288325,-1
4.34170399845,7.35040164777,1
3.17112021567,2.65506480725,-1
1.24217984171,8.3539475017,1
9.56164915457,8.19547458888,-1
6.3454595377,3.38414440716,-1
7.52239496798,3.20008658267,-1
3.00661647556,9.931860596,1
5.85836378715,6.97654282961,1
7.54249625735,1.81734180469,-1
2.39645046355,0.783726242443,-1
6.73799924761,3.70077606847,-1
2.70259194589,6.06275922621,1
0.389725509931,9.1030589079,1
0.692045516129,4.82510296142,1
5.27298989633,5.66328036894,-1
5.96479433071,8.43917830182,1
9.67170210162,8.20861996735,-1
1.05009330141,6.2232224699,1
3.75664644499,4.78586696738,1
3.71500020514,8.21488858448,1
2.30716179327,8.88290889527,1
9.63927184184,7.26545346186,-1
8.12649003919,4.99348143734,-1
6.03218375167,9.87558025795,1
2.45032772643,4.40494979875,1
1.83568522108,8.59045151407,1
8.41605764143,3.75073545716,-1
8.87199491061,7.12923986353,-1
5.33256624699,0.400302332458,-1
2.3217920844,7.03553523143,1
5.61439083334,6.17354553332,1
2.69731828311,2.41630242022,-1
2.08159089315,6.18467367602,1
6.44907692624,3.24251069558,-1
9.64078701442,6.44489227733,-1
9.34023949365,8.99564677879,-1
7.2025439047,3.77569921064,-1
5.64292986364,2.36038556242,-1
0.783887092216,5.58828536094,1
4.67467703933,6.23918706598,1
1.32370566487,1.68492795994,1
0.762325003983,9.17303833395,1
1.02114945898,8.73134366717,1
1.8575701013,8.29352837528,1
6.60148114267,1.79567174796,-1
2.88750229362,0.586932616772,-1
3.15466593386,2.66687561915,-1
5.2210151169,2.43865831194,-1
4.55586735753,5.23141476995,1
3.22578988407,6.43880140521,1
8.97553660092,1.45368882649,-1
9.25973924891,6.12468356901,-1
1.71437534361,9.49833237533,1
0.277250233949,9.02831622144,1
6.05100547567,1.79746126949,-1
3.2388769125,7.63729407562,1
4.73559033125,2.04351795306,-1
4.90662778945,0.914979639629,-1
9.09007986899,8.1454552049,-1
6.12779021894,0.679395205809,-1
3.32763146883,5.18257364229,1
9.48512777901,8.68545084551,-1
3.91589396194,3.17667842924,1
6.80205254869,2.97967668385,-1
8.53639748462,6.22899191986,-1
6.59802635695,9.83250661984,1
0.208652614142,0.278269580221,1
2.4029414979,1.79808784043,-1
3.79836503365,5.14551494361,1
7.53495618992,6.79983596355,-1
3.52907807254,4.09436514126,1
6.43669056568,5.63430909384,-1
5.41354203574,6.12551995175,-1
9.5960286196,4.76257636551,-1
6.39409643005,3.02218205496,-1
2.4224320175,6.19355306622,1
7.02730037217,2.31253651092,-1
5.45474737129,6.56244336736,1
0.367339345454,3.18654772527,1
