@RELATION twosphereodds.txt

@ATTRIBUTE f1 numeric
@ATTRIBUTE f2 numeric
@ATTRIBUTE class {1, -1}

@DATA
1.95057090111,9.91763690308,-1
9.04943873999,3.09802232379,-1
8.04834724154,1.75913949963,-1
7.96032990602,7.62600240562,-1
9.09827275059,8.0361093292,-1
8.13122535219,1.38663312704,-1
7.59543722919,6.14537088697,-1
3.6393086181,6.12279739292,-1
5.36554499321,6.72206296762,-1
5.49141808479,9.42803319679,-1
6.20947111213,6.86338753819,-1
9.09379453784,2.88043428334,-1
8.30979046439,1.50581418636,-1
1.02335490816,3.56509322986,-1
5.37291200412,9.12375596478,-1
3.80909826482,1.09776599333,-1
3.59585760413,1.32516792352,1
1.94544197492,5.51889380029,-1
9.06877395648,6.25884192793,-1
3.37185758121,3.2577042267,-1
5.76051005614,6.42190402235,-1
2.58990015942,8.61277362793,-1
3.60190748918,0.255811990388,-1
9.65808612622,4.14029183264,-1
7.78849329633,3.37085091862,-1
7.51514557369,2.8259586853,-1
0.0272710093707,3.0710724055,-1
7.16255007656,1.40864203693,-1
2.1041490304,0.785265792018,-1
0.559392304896,8.7308705776,-1
5.90451283505,6.14890472842,-1
4.79446321597,1.56814868941,-1
8.14567169205,7.54229889855,-1
2.61667939223,8.58140566865,-1
1.03673885648,9.70921529493,-1
2.30300487928,9.22907362167,-1
4.17048779077,5.04893540925,-1
8.95359246326,2.49005042271,-1
0.592060452451,4.34184669694,-1
0.251696088752,0.336378699392,-1
8.82763306261,4.97538238667,-1
9.72189766536,6.00274972491,-1
2.30985635451,3.77755029215,-1
5.54801733213,3.14690739947,-1
7.86451409269,8.58401182343,-1
9.65532140261,4.99143360296,-1
7.42337822863,8.46054373799,-1
7.32465692578,2.4803484248,-1
8.09788758681,4.90531954434,-1
6.49177876646,1.6857710208,-1
3.77442147376,4.1344628579,-1
3.70781481966,1.88665990861,1
6.68529408815,2.24377487262,-1
0.0791594537846,3.61376658653,-1
8.71195426936,9.28682341813,-1
1.49048083654,8.65706328572,-1
1.37413097288,4.93962139312,-1
3.73417731832,1.99847124345,-1
2.84519080815,5.58372048457,-1
8.79124586828,2.24727279167,-1
5.6814696789,5.37298996066,-1
9.07569853899,1.39908350952,-1
0.741997583697,0.895510527893,-1
6.34893639923,1.51490309414,-1
8.45934486856,1.4229671986,-1
2.2698230397,5.9216570743,-1
3.82531333818,5.60490587757,-1
2.88526360822,9.81900473311,-1
9.78699305351,6.37570505514,-1
3.43539412293,7.75294963415,-1
0.888950429375,0.806856333416,-1
7.02899068761,1.67529901614,-1
8.63625134829,3.19936619706,-1
1.47667936739,5.65707943154,-1
0.48655834446,0.47127477617,1
0.370727623861,8.2664776557,-1
